id	fd_avg_allruns	fd_avg_run1	fd_avg_run2	fd_avg_run3	fd_avg_run4	fd_avg_run5	fd_max_run1	fd_max_run2	fd_max_run3	fd_max_run4	fd_max_run5
115	0.71	0.38	0.62	0.87	0.92	0.73	2.94	5.48	6.7	7.78	5.96
095	0.17	0.12	0.16	0.19	0.2	0.16	0.47	0.68	1.25	1.22	0.54
037	0.19	0.1	0.23	0.12	0.16	0.34	0.87	1.89	0.48	0.54	3.61
101	0.73	0.44	0.58	0.76	1.44	0.42	2.45	5.88	9.44	15.73	1.31
131	0.17	0.1	0.12	0.12	0.42	0.1	0.33	0.42	0.58	2.04	0.38
126	0.31	0.19	0.2	0.31	0.48	0.36	0.86	0.74	1.74	1.71	1.22
009	1.46	1.77	0.56	1.02	2.0	1.94	15.41	5.86	10.63	8.01	18.93
048	0.29	0.25	0.28	0.29	0.26	0.35	1.37	1.04	1.32	1.84	2.6
007	1.05	0.69	1.1	0.92	1.22	1.3	5.52	8.92	3.96	12.84	5.99
055	0.61	0.38	0.52	1.1	0.41	0.66	2.93	2.18	4.52	2.75	1.74
068	0.89	0.98	0.92	0.64	0.75	1.2	6.63	7.34	6.27	4.39	8.82
033	0.3	0.15	0.16	0.25	0.59	0.38	0.66	1.24	1.86	5.62	7.05
124	1.35	0.7	1.49	1.23	2.52	0.82	2.33	5.59	8.58	12.4	8.72
120	0.59	0.52	0.49	0.89	0.57	0.46	5.01	2.7	8.8	3.5	4.84
117	1.47	0.86	0.98	1.57	1.93	1.99	3.79	8.08	5.07	8.31	9.98
094	0.22	0.14	0.15	0.15	0.51	0.14	0.89	0.39	1.23	3.07	0.43
028	0.11	0.09	0.11	0.12	0.14	0.08	0.27	0.34	0.25	0.41	0.19
002	0.19	0.11	0.14	0.09	0.36	0.27	0.65	1.97	0.53	4.92	4.86
132	0.18	0.15	0.17	0.17	0.25	0.16	0.7	0.93	0.84	1.5	0.53
110	0.66	0.25	0.36	0.73	1.0	0.96	0.74	1.95	6.63	7.69	8.62
040	0.44	0.2	0.35	0.49	0.56	0.61	0.77	1.83	2.12	2.75	4.62
051	0.59	0.42	0.33	0.23	0.71	1.27	5.65	3.59	1.47	3.4	6.23
083	0.15	0.09	0.17	0.15	0.11	0.23	0.55	3.11	1.91	0.46	2.95
045	0.21	0.18	0.22	0.22	0.24	0.2	1.21	1.33	1.77	1.25	1.3
127	0.97	0.94	0.67	1.15	1.25	0.86	8.64	9.79	6.35	11.53	5.53
073	0.12	0.1	0.09	0.13	0.15	0.14	0.35	0.38	1.15	0.99	0.7
121	0.13	0.18	0.13	0.12	0.11	0.11	0.76	0.43	0.3	0.39	0.35
030	0.26	0.14	0.35	0.24	0.31	0.24	0.96	8.64	2.63	1.88	3.45
119	0.26	0.15	0.24	0.27	0.29	0.35	0.47	0.96	1.12	1.13	1.7
031	0.21	0.07	0.1	0.28	0.48	0.1	0.31	0.39	2.67	3.19	0.47
017	0.36	0.23	0.38	0.44	0.44	0.3	0.98	2.08	3.1	4.02	2.6
036	0.11	0.07	0.08	0.07	0.14	0.19	0.26	0.18	0.23	0.96	2.44
093	0.89	1.02	1.3	1.17	0.61	0.36	9.62	8.51	8.56	3.91	2.88
084	0.8	0.37	0.53	1.0	1.62	0.49	2.38	5.87	4.56	11.78	2.14
130	3.37	1.38	6.59	2.75	2.77		10.19	39.2	18.23	19.67	
080	0.08	0.09	0.08	0.08	0.07	0.1	0.3	0.19	0.23	0.16	0.39
090	0.76	0.34	0.22	0.7	2.1	0.46	3.25	1.98	6.75	17.35	4.7
022	0.29	0.2	0.26	0.32	0.45	0.2	0.92	3.01	3.19	3.68	0.55
026	0.16	0.13	0.14	0.14	0.13	0.29	0.3	0.32	0.34	0.35	3.26
058	0.99	0.44	0.32	0.81	2.41	0.98	4.6	2.65	7.4	17.66	12.09
075	0.69	1.26	0.24	0.73	0.41	0.8	21.73	1.0	6.62	5.53	5.35
018	1.0	0.24	0.64	1.31	1.25	1.58	1.66	6.39	6.46	4.58	18.29
041	0.67	0.54	1.15	0.6	0.18	0.89	11.26	10.41	6.7	0.92	5.77
054	0.42	0.2	0.19	0.53	0.64	0.51	1.05	0.84	5.39	5.85	3.81
049	0.48	0.21	0.52	0.65	0.43	0.58	1.12	7.07	5.97	3.18	5.16
052	2.37	2.38	1.24	2.27	3.48	2.47	12.73	8.52	10.0	10.31	9.21
106	2.37	2.44	2.3				13.61	15.72			
043	0.63	0.66	0.66	0.68	0.63	0.5	4.47	4.25	5.14	2.47	2.66
129	0.22	0.2	0.21	0.24	0.21	0.23	0.57	0.59	0.8	0.85	0.52
020	0.47	0.14	0.23	0.54	0.79	0.68	1.93	0.87	5.59	7.49	4.18
077	4.79	5.85	3.77				33.69	18.15			
078	0.45	0.37	0.31	0.48	0.48	0.63	3.4	3.01	4.09	8.35	7.59
047	0.26	0.28	0.39	0.28	0.23	0.12	3.46	6.99	5.87	4.58	0.45
005	0.18	0.07	0.13	0.13	0.14	0.46	0.21	1.45	0.81	1.25	2.72
133	0.1	0.13	0.06	0.14	0.07	0.11	1.52	0.41	4.71	0.26	1.58
123	0.97	0.3	0.62	1.95	1.64	0.37	1.91	4.18	16.34	9.28	3.22
