sub	run	n_vol	n_censor	p_censor	n_vol_blocks	n_censor_blocks	p_censor_blocks	n_vol_food	n_censor_food	p_censor_food
068	1.0	78.0	21.0	26.9	54.0	14.0	25.9	36.0	10.0	27.8
068	2.0	78.0	22.0	28.2	54.0	13.0	24.1	36.0	10.0	27.8
068	3.0	78.0	14.0	17.9	54.0	12.0	22.2	36.0	5.0	13.9
068	4.0	78.0	22.0	28.2	54.0	15.0	27.8	36.0	10.0	27.8
068	5.0	78.0	29.0	37.2	54.0	18.0	33.3	36.0	13.0	36.1
083	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
083	2.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
083	3.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	0.0	0.0
083	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
083	5.0	78.0	4.0	5.1	54.0	4.0	7.4	36.0	0.0	0.0
045	1.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
045	2.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
045	3.0	78.0	3.0	3.8	54.0	1.0	1.9	36.0	1.0	2.8
045	4.0	78.0	4.0	5.1	54.0	1.0	1.9	36.0	1.0	2.8
045	5.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	0.0	0.0
004	1.0	78.0	9.0	11.5	54.0	9.0	16.7	36.0	3.0	8.3
004	2.0	78.0	8.0	10.3	54.0	6.0	11.1	36.0	3.0	8.3
004	3.0	78.0	17.0	21.8	54.0	13.0	24.1	36.0	13.0	36.1
004	4.0	78.0	33.0	42.3	54.0	28.0	51.9	36.0	24.0	66.7
004	5.0	78.0	6.0	7.7	54.0	5.0	9.3	36.0	5.0	13.9
123	1.0	78.0	7.0	9.0	54.0	5.0	9.3	36.0	5.0	13.9
123	2.0	78.0	14.0	17.9	54.0	12.0	22.2	36.0	8.0	22.2
123	3.0	78.0	43.0	55.1	54.0	26.0	48.1	36.0	21.0	58.3
123	4.0	78.0	26.0	33.3	54.0	16.0	29.6	36.0	5.0	13.9
123	5.0	78.0	7.0	9.0	54.0	5.0	9.3	36.0	5.0	13.9
084	1.0	78.0	8.0	10.3	54.0	3.0	5.6	36.0	2.0	5.6
084	2.0	78.0	10.0	12.8	54.0	5.0	9.3	36.0	5.0	13.9
084	3.0	78.0	31.0	39.7	54.0	20.0	37.0	36.0	18.0	50.0
084	4.0	78.0	36.0	46.2	54.0	25.0	46.3	36.0	17.0	47.2
084	5.0	78.0	12.0	15.4	54.0	10.0	18.5	36.0	4.0	11.1
022	1.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
022	2.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
022	3.0	78.0	3.0	3.8	54.0	3.0	5.6	36.0	0.0	0.0
022	4.0	78.0	8.0	10.3	54.0	5.0	9.3	36.0	3.0	8.3
022	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
033	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
033	2.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
033	3.0	78.0	2.0	2.6	54.0	0.0	0.0	36.0	0.0	0.0
033	4.0	78.0	11.0	14.1	54.0	5.0	9.3	36.0	5.0	13.9
033	5.0	78.0	6.0	7.7	54.0	1.0	1.9	36.0	1.0	2.8
070	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
070	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
070	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
070	4.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
070	5.0	78.0	21.0	26.9	54.0	14.0	25.9	36.0	11.0	30.6
074	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
074	2.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
074	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
074	4.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	0.0	0.0
074	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
094	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
094	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
094	3.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
094	4.0	78.0	11.0	14.1	54.0	7.0	13.0	36.0	2.0	5.6
094	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
055	1.0	78.0	2.0	2.6	54.0	0.0	0.0	36.0	0.0	0.0
055	2.0	78.0	10.0	12.8	54.0	2.0	3.7	36.0	2.0	5.6
055	3.0	78.0	40.0	51.3	54.0	26.0	48.1	36.0	18.0	50.0
055	4.0	78.0	5.0	6.4	54.0	5.0	9.3	36.0	2.0	5.6
055	5.0	78.0	20.0	25.6	54.0	15.0	27.8	36.0	10.0	27.8
120	1.0	78.0	10.0	12.8	54.0	7.0	13.0	36.0	5.0	13.9
120	2.0	78.0	11.0	14.1	54.0	5.0	9.3	36.0	4.0	11.1
120	3.0	78.0	16.0	20.5	54.0	9.0	16.7	36.0	9.0	25.0
120	4.0	78.0	13.0	16.7	54.0	8.0	14.8	36.0	5.0	13.9
120	5.0	78.0	8.0	10.3	54.0	4.0	7.4	36.0	2.0	5.6
117	1.0	78.0	24.0	30.8	54.0	16.0	29.6	36.0	12.0	33.3
117	2.0	78.0	29.0	37.2	54.0	24.0	44.4	36.0	19.0	52.8
117	3.0	78.0	59.0	75.6	54.0	39.0	72.2	36.0	28.0	77.8
117	4.0	78.0	52.0	66.7	54.0	34.0	63.0	36.0	22.0	61.1
117	5.0	78.0	51.0	65.4	54.0	38.0	70.4	36.0	26.0	72.2
114	1.0	78.0	28.0	35.9	54.0	17.0	31.5	36.0	13.0	36.1
114	2.0	78.0	36.0	46.2	54.0	21.0	38.9	36.0	14.0	38.9
114	3.0	78.0	35.0	44.9	54.0	24.0	44.4	36.0	13.0	36.1
114	4.0	78.0	2.0	2.6	54.0	1.0	1.9	36.0	1.0	2.8
114	5.0	78.0	10.0	12.8	54.0	7.0	13.0	36.0	6.0	16.7
073	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
073	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
073	3.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
073	4.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
073	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
020	1.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
020	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
020	3.0	78.0	11.0	14.1	54.0	5.0	9.3	36.0	4.0	11.1
020	4.0	78.0	22.0	28.2	54.0	11.0	20.4	36.0	8.0	22.2
020	5.0	78.0	20.0	25.6	54.0	11.0	20.4	36.0	4.0	11.1
105	1.0	78.0	7.0	9.0	54.0	5.0	9.3	36.0	5.0	13.9
105	2.0	78.0	15.0	19.2	54.0	9.0	16.7	36.0	6.0	16.7
105	3.0	78.0	9.0	11.5	54.0	6.0	11.1	36.0	6.0	16.7
105	4.0	78.0	25.0	32.1	54.0	16.0	29.6	36.0	8.0	22.2
105	5.0	78.0	35.0	44.9	54.0	20.0	37.0	36.0	8.0	22.2
040	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
