"column","variable","label","value_labels","class","type","n_na","range"
"1","id","participant id","NULL","numeric","double","0","c(1, 133)"
"2","v6_date","date from participant contacts databases ('verified_visit_dates*.csv) converted to format yyyy-mm-dd in R. If no date in database, uses start_date metadata from qualtrics","NULL","character","character","0","c(""2018-04-24"", ""2022-07-14"")"
"3","ff_premri_snacktime","Record time of pre-snack Freddy Fullness was taken.","NULL","character","character","0","c("""", ""9:37"")"
"4","ff_postmri_snacktime","Record time post-snack Freddy Fullness was taken. - Post-snack time","NULL","character","character","0","c("""", ""NA"")"
"5","ff_postmris_nacktime2","Record time post-snack Freddy Fullness was taken. - Post-snack time 2","NULL","character","character","0","c("""", ""NA"")"
"6","ff_premri_snack","Freddy Score - Visit 6 Pre-Snack","NULL","numeric","double","1","c(0, 150)"
"7","ff_postmri_snack","Freddy Score - Visit 6 Post-Snack","NULL","numeric","double","39","c(11, 144)"
"8","ff_postmri_snack2","Freddy Score - Visit 6 Post-Snack before MRI (if gave second snack, leave blank if N/A)","NULL","numeric","double","81","c(4, 139)"
"9","ff_premri_time","Record time Freddy Fullness was taken.","NULL","character","character","0","c("""", ""right before scan"")"
"10","ff_premri","Freddy Score - Visit 6 Pre-MRI","NULL","numeric","double","23","c(0, 148)"
"11","ff_pre_dgtime","Record time Freddy Fullness was taken.","NULL","character","character","0","c("""", ""7:13"")"
"12","ff_pre_dg","Freddy Score - Visit 6 Pre-Delay Gratification","NULL","numeric","double","28","c(0, 148)"
"13","ff_pre_mrivas_time","Record time Freddy Fullness was taken.","NULL","character","character","0","c("""", ""7:31"")"
"14","ff_pre_mrivas","Freddy Score - Visit 6 Post-Snack","NULL","numeric","double","43","c(0, 150)"
"15","ff_pre_sst","Freddy Score - Visit 6 Pre-SST","NULL","numeric","double","42","c(0, 150)"
"16","noplate_grapes_g","Snack Intake
 

Grapes pre weight w/o plate","NULL","numeric","double","41","c(156.2, 206.46)"
"17","plate_grapes_g","Grapes pre weight w/ plate","NULL","numeric","double","41","c(334.04, 385.96)"
"18","post_grapes_g","Grapes post weight w/ plate","NULL","numeric","double","43","c(165.47, 383.57)"
"19","consumed_grapes_g","Grapes amount consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","43","c(0, 202.65)"
"20","noplate_ritz_g","Ritz Crackers pre weight w/o plate","NULL","numeric","double","41","c(34.21, 42.28)"
"21","plate_ritz_g","Ritz Crackers pre weight w/ plate","NULL","numeric","double","41","c(178.71, 369.51)"
"22","post_ritz_g","Ritz Crackers post weight w/ plate","NULL","numeric","double","41","c(7.48, 369.51)"
"23","consumed_ritz_g","Ritz Crackers amount consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","41","c(0, 200.54)"
"24","noplate_juice_g","Apple Juice w/o plate","NULL","numeric","double","41","c(137, 222.36)"
"25","post_juice_g","Apple Juice post weight","NULL","numeric","double","42","c(7.59, 220.58)"
"26","consumed_juice_g","Apple Juice amount consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","42","c(0, 212.35)"
"27","cams_pre_mri","Pre-Scan CAMS:
I want to know how nervous or worried you're feeling right now.  Pretend that all of your worried or nervous feelings are in the very bottom down here. If you are a little bit worried or nervous, the feelings might come up just a little bit. If you are very, very worried or nervous, the feelings might go all the way to the top. Move the circle to show how much worry or nervousness you feel right now.","NULL","numeric","double","1","c(0, 10)"
"28","cams_post_mri","Post-scan CAMS","NULL","numeric","double","1","c(0, 10)"
"29","mri_version","MRI Task Version","c(`Task Version A` = 1, `Task Version B` = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","2","c(1, 2)"
"30","mrivas_a1_01_full","Bacon Large - Full","NULL","numeric","double","4","c(0, 100)"
"31","mrivas_a1_01_like","Bacon Large - Like","NULL","numeric","double","4","c(0, 100)"
"32","mrivas_a1_02_full","Bagel Large - Full","NULL","numeric","double","4","c(0, 100)"
"33","mrivas_a1_02_like","Bagel Large - Like","NULL","numeric","double","4","c(0, 100)"
"34","mrivas_a1_03_full","Cheeseburger Large - Full","NULL","numeric","double","4","c(0, 100)"
"35","mrivas_a1_03_like","Cheeseburger Large - Like","NULL","numeric","double","4","c(0, 100)"
"36","mrivas_a1_04_full","Chicken Nuggets Large - Full","NULL","numeric","double","4","c(0, 100)"
"37","mrivas_a1_04_like","Chicken Nuggets Large - Like","NULL","numeric","double","4","c(0, 100)"
"38","mrivas_a1_05_full","Chips w/ Cheese Large - Full","NULL","numeric","double","4","c(0, 100)"
"39","mrivas_a1_05_like","Chips w/ Cheese Large - Like","NULL","numeric","double","4","c(0, 100)"
"40","mrivas_a1_06_full","Fish Sticks Large - Full","NULL","numeric","double","4","c(0, 100)"
"41","mrivas_a1_06_like","Fish Sticks Large - Like","NULL","numeric","double","4","c(0, 100)"
"42","mrivas_a2_01_full","French Fries Large - Full","NULL","numeric","double","4","c(0, 100)"
"43","mrivas_a2_01_like","French Fries Large - Like","NULL","numeric","double","4","c(0, 100)"
"44","mrivas_a2_02_full","Grilled Cheese Large - Full","NULL","numeric","double","4","c(0, 100)"
"45","mrivas_a2_02_like","Grilled Cheese Large - Like","NULL","numeric","double","4","c(0, 100)"
"46","mrivas_a2_03_full","Italian Sub Large - Full","NULL","numeric","double","4","c(0, 100)"
"47","mrivas_a2_03_like","Italian Sub Large - Like","NULL","numeric","double","4","c(0, 100)"
"48","mrivas_a2_04_full","Mac and Cheese Large - Full","NULL","numeric","double","4","c(0, 100)"
"49","mrivas_a2_04_like","Mac and Cheese Large - Like","NULL","numeric","double","4","c(0, 100)"
"50","mrivas_a2_05_full","Peanut Butter Crackers Large - Full","NULL","numeric","double","4","c(0, 100)"
"51","mrivas_a2_05_like","Peanut Butter Crackers Large - Like","NULL","numeric","double","4","c(0, 100)"
"52","mrivas_a2_06_full","Peanuts Large - Full","NULL","numeric","double","4","c(0, 100)"
"53","mrivas_a2_06_like","Peanuts Large - Like","NULL","numeric","double","4","c(0, 100)"
"54","mrivas_a3_01_full","Pizza Large - Full","NULL","numeric","double","4","c(0, 100)"
"55","mrivas_a3_01_like","Pizza Large - Like","NULL","numeric","double","4","c(0, 100)"
"56","mrivas_a3_02_full","Potato Chips Large - Full","NULL","numeric","double","4","c(0, 100)"
"57","mrivas_a3_02_like","Potato Chips Large - Like","NULL","numeric","double","4","c(0, 100)"
"58","mrivas_a3_03_full","Pretzels Large - Full","NULL","numeric","double","4","c(0, 100)"
"59","mrivas_a3_03_like","Pretzels Large - Like","NULL","numeric","double","4","c(0, 100)"
"60","mrivas_a3_04_full","Brownie Large - Full","NULL","numeric","double","4","c(0, 100)"
"61","mrivas_a3_04_like","Brownie Large - Like","NULL","numeric","double","4","c(0, 100)"
"62","mrivas_a3_05_full","Cake Large - Full","NULL","numeric","double","4","c(0, 100)"
"63","mrivas_a3_05_like","Cake Large - Like","NULL","numeric","double","4","c(0, 100)"
"64","mrivas_a3_06_full","Chocolate Candy Large - Full","NULL","numeric","double","4","c(0, 100)"
"65","mrivas_a3_06_like","Chocolate Candy Large - Like","NULL","numeric","double","4","c(0, 100)"
"66","mrivas_a4_01_full","Doughnut Large - Full","NULL","numeric","double","4","c(0, 100)"
"67","mrivas_a4_01_like","Doughnut Large - Like","NULL","numeric","double","4","c(0, 100)"
"68","mrivas_a4_02_full","Fruit Candy Chews Large - Full","NULL","numeric","double","4","c(0, 100)"
"69","mrivas_a4_02_like","Fruit Candy Chews Large - Like","NULL","numeric","double","4","c(0, 100)"
"70","mrivas_a4_03_full","Muffin Large - Full","NULL","numeric","double","4","c(0, 100)"
"71","mrivas_a4_03_like","Muffin Large - Like","NULL","numeric","double","4","c(0, 100)"
"72","mrivas_a4_04_full","Rice Treats Large - Full","NULL","numeric","double","4","c(0, 100)"
"73","mrivas_a4_04_like","Rice Treats Large - Like","NULL","numeric","double","4","c(0, 100)"
"74","mrivas_a4_05_full","Sugar Cookie Large - Full","NULL","numeric","double","4","c(0, 100)"
"75","mrivas_a4_05_like","Sugar Cookie Large - Like","NULL","numeric","double","4","c(0, 100)"
"76","mrivas_a4_06_full","Waffle Large - Full","NULL","numeric","double","4","c(0, 100)"
"77","mrivas_a4_06_like","Waffle Large - Like","NULL","numeric","double","4","c(0, 100)"
"78","mrivas_a5_01_full","Chocolate Ice Cream Large - Full","NULL","numeric","double","4","c(0, 100)"
"79","mrivas_a5_01_like","Chocolate Ice Cream Large - Like","NULL","numeric","double","4","c(0, 100)"
"80","mrivas_a5_02_full","Chocolate Peanut Butter Candy Large - Full","NULL","numeric","double","4","c(0, 100)"
"81","mrivas_a5_02_like","Chocolate Peanut Butter Candy Large - Like","NULL","numeric","double","4","c(0, 100)"
"82","mrivas_a5_03_full","Chocolate Pie Large - Full","NULL","numeric","double","4","c(0, 100)"
"83","mrivas_a5_03_like","Chocolate Pie Large - Like","NULL","numeric","double","4","c(0, 100)"
